i    j    k    brain       skull       skin        outside     
1    8    16   0.000000    0.008789    0.113770    0.877441    
1    8    14   0.000000    0.000488    0.093262    0.906250    
1    8    19   0.000000    0.000000    0.000977    0.999023    
1    8    17   0.000000    0.002441    0.085449    0.912109    
1    8    15   0.000000    0.012207    0.123535    0.864258    
1    8    13   0.000000    0.000000    0.025879    0.974121    
1    9    14   0.051270    0.219238    0.269531    0.459961    
1    9    12   0.000000    0.033691    0.169434    0.796875    
1    9    11   0.000000    0.000000    0.031250    0.968750    
1    9    15   0.097656    0.229492    0.270020    0.402832    
1    9    16   0.094727    0.241699    0.263184    0.400391    
1    9    18   0.010742    0.123047    0.272461    0.593750    
1    9    20   0.000000    0.000000    0.026367    0.973633    
1    9    13   0.009277    0.124023    0.268066    0.598633    
1    9    17   0.057617    0.202148    0.269531    0.470703    
1    9    19   0.000000    0.027832    0.155762    0.816406    
1    10   10   0.000000    0.000488    0.044434    0.955078    
1    10   11   0.003418    0.093750    0.228027    0.674805    
1    10   13   0.268555    0.263672    0.271484    0.196289    
1    10   12   0.098633    0.242676    0.280273    0.378418    
1    10   14   0.393066    0.276367    0.256348    0.074219    
1    10   17   0.391113    0.271484    0.254883    0.082520    
1    10   15   0.476562    0.265137    0.223633    0.034668    
1    10   16   0.486328    0.264160    0.208496    0.041016    
1    10   20   0.003418    0.092773    0.227539    0.676270    
1    10   18   0.277344    0.266113    0.268555    0.187988    
1    10   21   0.000000    0.001465    0.054199    0.944336    
1    10   19   0.102051    0.230957    0.261230    0.405762    
1    11   12   0.414551    0.261230    0.239746    0.084473    
1    11   15   0.809570    0.178223    0.012207    0.000000    
1    11   11   0.138184    0.250000    0.281250    0.330566    
1    11   13   0.587402    0.282715    0.128418    0.001465    
1    11   14   0.730957    0.240234    0.028809    0.000000    
1    11   16   0.829590    0.161133    0.009277    0.000000    
1    11   18   0.601562    0.269531    0.126465    0.002441    
1    11   10   0.001953    0.094727    0.239746    0.663574    
1    11   17   0.748535    0.218750    0.032715    0.000000    
1    11   9    0.000000    0.000000    0.035645    0.964355    
1    11   20   0.161621    0.245117    0.273438    0.319824    
1    11   22   0.000000    0.000000    0.033691    0.966309    
1    11   19   0.439941    0.255371    0.232422    0.072266    
1    11   21   0.003418    0.085449    0.230957    0.680176    
1    12   10   0.091797    0.233398    0.276855    0.397949    
1    12   14   0.972168    0.027832    0.000000    0.000000    
1    12   8    0.000000    0.000000    0.000488    0.999512    
1    12   18   0.877930    0.121582    0.000488    0.000000    
1    12   19   0.692871    0.244141    0.062988    0.000000    
1    12   11   0.396973    0.268066    0.251465    0.083496    
1    12   15   0.994629    0.005371    0.000000    0.000000    
1    12   22   0.000000    0.031250    0.171875    0.796875    
1    12   23   0.000000    0.000000    0.000488    0.999512    
1    12   12   0.696289    0.240234    0.063477    0.000000    
1    12   9    0.000000    0.032715    0.155762    0.811523    
1    12   21   0.092285    0.231445    0.265625    0.410645    
1    12   20   0.401855    0.268555    0.249023    0.080566    
1    12   17   0.973633    0.026367    0.000000    0.000000    
1    12   13   0.868164    0.130859    0.000977    0.000000    
1    12   16   0.996582    0.003418    0.000000    0.000000    
1    13   8    0.000000    0.000000    0.028809    0.971191    
1    13   11   0.612793    0.263672    0.121582    0.001953    
1    13   13   0.996094    0.003906    0.000000    0.000000    
1    13   15   1.000000    0.000000    0.000000    0.000000    
1    13   14   1.000000    0.000000    0.000000    0.000000    
1    13   10   0.282227    0.261230    0.261719    0.194824    
1    13   17   1.000000    0.000000    0.000000    0.000000    
1    13   12   0.889648    0.109375    0.000977    0.000000    
1    13   16   1.000000    0.000000    0.000000    0.000000    
1    13   9    0.016113    0.139160    0.260254    0.584473    
1    13   19   0.866211    0.133301    0.000488    0.000000    
